1,"СМЕТКИ ЗА КАПИТАЛ И ЗАЕМИ",,,,,,1,"active"
10,"Капитал",,,,,,10,"active"
101,"Основен капитал","passive",,"Контрагенти&nbsp;(100)",,,101,"active"
102,"Допълнителен (запасен) капитал","passive",,"Контрагенти&nbsp;(100)",,,102,"active"
107,"Сметка на собственика","passive",,"Контрагенти&nbsp;(100)",,,107,"active"
11,"Резерви",,,,,,11,"active"
111,"Общи резерви","passive",,,,,111,"active"
112,"Преоценъчни резерви","passive",,,,,112,"active"
12,"Финансови Резултати",,,,,,12,"active"
121,"Непокрита загуба от минали години","active",,"Година&nbsp;(4)",,,121,"active"
122,"Неразпределена печалба от минали години","passive",,"Година&nbsp;(4)",,,122,"active"
123,"Печалби и загуби от текущата година","dynamic",,"Година&nbsp;(4)",,,123,"active"
15,"Получени заеми",,,,,,15,"active"
151,"Получени КРАТКОСРОЧНИ заеми","passive",,,,,151,"active"
1511,"Получени краткосрочни заеми - банкови кредити","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",1511,"active"
1512,"Получени краткосрочни заеми - финансов лизинг","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",1512,"active"
1513,"Получени краткосрочни заеми - овърдрафт","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",1513,"active"
1514,"Получени краткосрочни заеми - от свързани лица","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",1514,"active"
152,"Получени ДЪЛГОСРОЧНИ заеми","passive",,,,,152,"active"
1521,"Получени дългосрочни заеми - банкови кредити","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",1521,"active"
1522,"Получени дългосрочни заеми - финансов лизинг","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",1522,"active"
1523,"Получени дългосрочни заеми - овърдрафт","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",1523,"active"
1524,"Получени дългосрочни заеми - от свързани лица","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",1524,"active"
153,"Кредитни карти","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",153,"active"
159,"Други заеми и дългове","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",159,"active"
2,"СМЕТКИ ЗА ДЪЛГОТРАЙНИ АКТИВИ",,,,,,2,"active"
20,"Дълготрайни Материални Активи",,,,,,20,"active"
2011,"Земи (Парцели)","active",,"Дълготрайни активи&nbsp;(200)",,,2011,"active"
2012,"Подобрения върху земите","active",,"Дълготрайни активи&nbsp;(200)",,,2012,"active"
202,"Сгради и конструкции","active",,"Дълготрайни активи&nbsp;(200)",,,202,"active"
203,"Компютърна техника","active",,"Дълготрайни активи&nbsp;(200)",,,203,"active"
204,"Съоръжения","active",,"Дълготрайни активи&nbsp;(200)",,,204,"active"
205,"Машини и оборудване","active",,"Дълготрайни активи&nbsp;(200)",,,205,"active"
206,"Транспортни средства","active",,"Дълготрайни активи&nbsp;(200)",,,206,"active"
207,"Офис обзавеждане","active",,"Дълготрайни активи&nbsp;(200)",,,207,"active"
209,"Други дълготрайни материални активи","active",,"Дълготрайни активи&nbsp;(200)",,,209,"active"
21,"Дълготрайни Нематериални Активи",,,,,,21,"active"
211,"Продукти от развойна дейност","active",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,211,"active"
212,"Програмни продукти","active",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,212,"active"
213,"Права върху интелектуална собственост","active",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,213,"active"
214,"Права върху индустриална собственост","active",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,214,"active"
219,"Други дълготрайни нематериални активи","active",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,219,"active"
22,"Дългострочни Финансови Активи",,,,,,22,"active"
221,"Инвестиции в дъщерни предприятия","active",,"Фирми&nbsp;(101)",,,221,"active"
222,"Инвестиции в асоциирани предприятия","active",,"Фирми&nbsp;(101)",,,222,"active"
223,"Инвестиции в смесени предприятия","active",,"Фирми&nbsp;(101)",,,223,"active"
224,"Инвестиционни имоти","active",,,,,224,"active"
225,"Финансови активи, държани до настъпване на падеж","active",,,,,225,"active"
226,"Финансови активи, отчитани по справедлива стойност в печалбата или загубата","active",,,,,226,"active"
227,"Предоставени дългосрочни заеми и вземания","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",227,"active"
228,"Инвестиции във финансови активи на разположение за продажба","active",,,,,228,"active"
229,"Инвестиции в други дългосрочни финансови активи","active",,,,,229,"active"
23,"Търговска Репутация",,,,,,23,"active"
231,"Положителна търговска репутация","active",,,,,231,"active"
232,"Отрицателна търговска репутация","passive",,,,,232,"active"
24,"Амортизации",,,,,,24,"active"
2412,"Амортизация на сгради и конструкции","transit",,"Дълготрайни активи&nbsp;(200)",,,2412,"active"
2413,"Амортизация на компютърна техника","transit",,"Дълготрайни активи&nbsp;(200)",,,2413,"active"
2414,"Амортизация на съоръжения","transit",,"Дълготрайни активи&nbsp;(200)",,,2414,"active"
2415,"Амортизация на машини и оборудване","transit",,"Дълготрайни активи&nbsp;(200)",,,2415,"active"
2416,"Амортизация на транспортни средства","transit",,"Дълготрайни активи&nbsp;(200)",,,2416,"active"
2417,"Амортизация на офис обзавеждане","transit",,"Дълготрайни активи&nbsp;(200)",,,2417,"active"
2419,"Амортизация на други ДМА","transit",,"Дълготрайни активи&nbsp;(200)",,,2419,"active"
2421,"Амортизация на продукти от развойна дейност","transit",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,2421,"active"
2422,"Амортизация на софтуерни продукти","transit",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,2422,"active"
2429,"Амортизация на други ДНА","transit",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,2429,"active"
2431,"Амортизация на  инвестиционни имоти","transit",,,,,2431,"active"
2433,"Амортизация на положителна репутация","transit",,,,,2433,"active"
25,"Корекции при обезценка",,,,,,25,"active"
251,"Корекция при обезценка на вземания","transit",,,,,251,"active"
252,"Корекция при обезценка на други активи","transit",,,,,252,"active"
3,"СМЕТКИ ЗА СТОКОВО - МАТЕРИАЛНИ ЗАПАСИ",,,,,,3,"active"
30,"Суровини и материали",,,,,,30,"closed"
301,"Доставки","active",,"Сделки&nbsp;(400)",,,301,"closed"
304,"Отпадъци от опаковки - външен пазар","active",,"Складове&nbsp;(3)","Артикули&nbsp;(300)",,304,"closed"
305,"Амбалаж","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,305,"closed"
306,"Инструменти","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,306,"closed"
309,"Други материали, соц. р-ди по КТ, авточасти","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,309,"closed"
32,"Суровини, материали, продукция и стоки",,,,,,32,"active"
321,"Суровини, материали, продукция, стоки","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,321,"active"
323,"СМЗ на отговорно пазене","active","WAC","Контрагенти&nbsp;(100)","Артикули&nbsp;(300)",,323,"active"
4,"Сметки за разчети",,,,,,4,"active"
40,"Доставчици и свързани с тях сметки",,,,,,40,"active"
401,"Задължения към доставчици","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",401,"active"
402,"Вземания от доставчици по аванси","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",402,"active"
403,"Задължения към доставчици по търговски кредити","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",403,"active"
404,"Задължения към доставчици по доставки при определени условия","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",404,"active"
405,"Задължения към доставчици свързани лица","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",405,"active"
406,"Разчети по прихванати суми","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",406,"active"
409,"Други задължения към доставчици","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",409,"active"
41,"Клиенти и свързани с тях сметки",,,,,,41,"active"
411,"Вземания от клиенти","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",411,"active"
412,"Задължения към клиенти (по аванси)","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",412,"active"
413,"Вземания от клиенти по търговски кредити","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",413,"active"
414,"Вземания от клиенти по продажби при определени условия - факторинг и др.","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",414,"active"
415,"Вземания от клиенти свързани лица","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",415,"active"
419,"Други вземания от клиенти","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",419,"active"
42,"Персонал и Съдружници",,,,,,42,"active"
421,"Задължения към персонал","passive",,"Трудови договори (от Персонал)&nbsp;(120)",,,421,"active"
422,"Разчети с подотчетни лица","dynamic",,"Лица&nbsp;(102)","Сделки&nbsp;(400)","Валути&nbsp;(1)",422,"active"
423,"Задължения по неизползвани отпуски","passive",,"Трудови договори (от Персонал)&nbsp;(120)",,,423,"active"
424,"Вземания от съучастия","active",,"Фирми&nbsp;(101)","Година&nbsp;(4)",,424,"active"
425,"Задължения за съучастия","passive",,"Контрагенти&nbsp;(100)","Година&nbsp;(4)",,425,"active"
426,"Вземания по записани дялови вноски","active",,"Контрагенти&nbsp;(100)",,,426,"active"
429,"Други разчети с персонала и съдружниците","dynamic",,"Контрагенти&nbsp;(100)",,,429,"active"
44,"Вземания по Липси, Начети и Съдебни спорове",,,,,,44,"active"
441,"Вземания по рекламации","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",441,"active"
442,"Вземания по липси и начети","active",,"Лица&nbsp;(102)",,,442,"active"
443,"Ценови разлики по липси и начети","passive",,"Лица&nbsp;(102)",,,443,"active"
444,"Вземания по съдебни спорове","active",,"Контрагенти&nbsp;(100)",,,444,"active"
445,"Присъдени вземания","active",,"Контрагенти&nbsp;(100)",,,445,"active"
45,"Разчети с бюджета и с ведомства",,,,,,45,"active"
451,"Разчети с общините","dynamic",,"Видове данъци и такси&nbsp;(6)","Година&nbsp;(4)",,451,"active"
4521,"Разчети за Корпоративен данък - годишен","dynamic",,"Година&nbsp;(4)",,,4521,"active"
4522,"Разчети за Корпоративен данък - авансов","dynamic",,"Година&nbsp;(4)",,,4522,"active"
4530,"ДДС за начисляване","dynamic",,"Сделки&nbsp;(400)",,,4530,"active"
4531,"Начислен ДДС за покупките","active",,,,,4531,"active"
4532,"Начислен ДДС за продажбите","passive",,,,,4532,"active"
4533,"Начислен ДДС по ВОП","dynamic",,,,,4533,"active"
4535,"ДДС по касови бележки","passive",,,,,4535,"active"
4538,"ДДС за възстановяване","active",,,,,4538,"active"
4539,"ДДС за внасяне","passive",,,,,4539,"active"
454,"Разчети за Данък върху дохода на физическите лица","dynamic",,,,,454,"active"
456,"Разчети за акцизи","dynamic",,,,,456,"active"
457,"Разчети с митници","dynamic",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",457,"active"
459,"Разчети с републиканския бюджет","dynamic",,"Видове данъци и такси&nbsp;(6)","Година&nbsp;(4)",,459,"active"
46,"Разчети с осигурители",,,,,,46,"active"
461,"Разчети за задължително социално осигуряване","dynamic",,,,,461,"active"
462,"Разчети за доброволно социално осигуряване","dynamic",,,,,462,"active"
463,"Разчети за здравно осигуряване","dynamic",,,,,463,"active"
469,"Други разчети с осигурители","dynamic",,,,,469,"active"
48,"Разчети – разни",,,,,,48,"active"
481,"Разчети по курсови разлики","dynamic",,"Валути&nbsp;(1)",,,481,"active"
484,"Операции захранващи стратегии двустранно","dynamic",,,,,484,"active"
488,"Разлики от закръгляния","dynamic",,,,,488,"active"
49,"Разни дебитори и кредитори",,,,,,49,"active"
491,"Разчети с Доверители","dynamic",,"Контрагенти&nbsp;(100)",,,491,"active"
492,"Разчети за гаранции","dynamic",,"Контрагенти&nbsp;(100)",,,492,"active"
493,"Разчети със собственици","dynamic",,"Контрагенти&nbsp;(100)",,,493,"active"
494,"Разчети по отсрочени данъци","dynamic",,,,,494,"active"
495,"Разчети по застраховане","dynamic",,"Контрагенти&nbsp;(100)",,,495,"active"
496,"Разчети по лихви","dynamic",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",496,"active"
497,"Провизии","passive",,,,,497,"active"
498,"Други дебитори","active",,"Контрагенти&nbsp;(100)","Валути&nbsp;(1)",,498,"active"
499,"Други кредитори","passive",,"Контрагенти&nbsp;(100)","Валути&nbsp;(1)",,499,"active"
5,"СМЕТКИ ЗА ФИНАНСОВИ СРЕДСТВА",,,,,,5,"active"
501,"Каси","active","WAC","Каси&nbsp;(501)","Валути&nbsp;(1)",,501,"active"
502,"Каси - безналични плащания","active","WAC","Каси&nbsp;(501)","Безналични методи за плащане&nbsp;(502)",,502,"active"
503,"Разплащателни сметки","active","WAC","Банкови сметки&nbsp;(503)","Валути&nbsp;(1)",,503,"active"
6,"СМЕТКИ ЗА РАЗХОДИ",,,,,,6,"active"
60,"Разходи по икономически елементи",,,,,,60,"active"
60010,"Разходи за (складируеми) материали","active",,"Артикули&nbsp;(300)",,,60010,"closed"
60020,"Разходи за (нескладируеми) услуги и консумативи","active",,"Центрове на дейност&nbsp;(610)","Артикули&nbsp;(300)",,60020,"active"
601,"Разходи за материали","active",,"Артикули&nbsp;(300)",,,601,"closed"
60200,"Разходи за външни услуги","active",,"Артикули&nbsp;(300)",,,602,"closed"
60201,"Разходи за (нескладируеми) услуги и консумативи","active","WAC","Разходни обекти&nbsp;(600)","Артикули&nbsp;(300)",,60201,"active"
603,"Разходи за амортизация","active",,"Дълготрайни активи&nbsp;(200)",,,603,"active"
604,"Разходи за заплати (възнаграждения)","active",,,,,604,"active"
605,"Разходи за осигуровки","active",,,,,605,"active"
606,"Разходи за данъци, такси и други подобни плащания","active",,,,,606,"active"
607,"Разходи за провизии","active",,,,,607,"active"
608,"Разходи от последващи оценки на активи","active",,,,,608,"active"
609,"Други разходи","active",,,,,609,"active"
61,"Разходи за Дейността",,,,,,61,"active"
611,"Разходи за основна дейност","active",,,,,6110,"active"
61101,"Незавършено производство","active","WAC","Артикули&nbsp;(300)",,,61101,"active"
61102,"Други разходи (общо)","active",,,,,61102,"active"
6111,"Незавършено производство по центрове","active","WAC","Центрове на дейност&nbsp;(610)","Артикули&nbsp;(300)",,611,"closed"
61201,"Разходи за спомагателна дейност","active",,"Артикули&nbsp;(300)",,,61201,"closed"
613,"Разходи за придобиване на дълготрайни активи","active","WAC","Артикули&nbsp;(300)",,,613,"active"
614,"Административни разходи","active",,,,,614,"active"
615,"Разходи за продажби","active",,,,,615,"active"
618,"Разходи по програми със средства от европейски фондове","active",,,,,618,"active"
62,"Финансови разходи",,,,,,62,"active"
621,"Разходи за лихви","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",621,"active"
624,"Разходи по валутни операции","active",,,,,624,"active"
625,"Разходи от последващи оценки на финансови активи и инструменти","active",,,,,625,"active"
629,"Други финансови разходи","active",,,,,629,"active"
65,"Разходи за Бъдещи периоди",,,,,,65,"active"
651,"Нефинансови разходи за бъдещи периоди","active",,,,,651,"active"
652,"Финансови разходи за бъдещи периоди","active",,,,,652,"active"
69,"Извънредни Разходи",,,,,,69,"active"
691,"Отписани вземания","active",,,,,691,"active"
6911,"Отписани вземания по Продажби","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)",,6911,"active"
6912,"Извънредни разходи по Покупки","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)",,6912,"active"
6913,"Отписани вземания по Финансови сделки","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)",,6913,"active"
692,"Разходи за глоби и неустойки","active",,,,,692,"active"
699,"Други извънредни разходи","active",,,,,699,"active"
7,"СМЕТКИ ЗА ПРИХОДИ",,,,,,7,"active"
70,"Приходи от Продажби",,,,,,70,"active"
700,"Приходи от продажби (по сделки)","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)",,700,"active"
701,"Приходи от продажби на Стоки и Продукти","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Артикули&nbsp;(300)",701,"active"
703,"Приходи от продажби на услуги","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Артикули&nbsp;(300)",703,"active"
704,"Приходи от наеми","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Артикули&nbsp;(300)",704,"active"
705,"Приходи от продажби на дълготрайни активи","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Артикули&nbsp;(300)",705,"active"
706,"Приходи от продажба на суровини/материали","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Артикули&nbsp;(300)",706,"active"
707,"Приходи от последваща оценка на активи","passive",,"Дълготрайни активи&nbsp;(200)",,,707,"active"
708,"Приходи от финансирания","passive",,,,,708,"active"
709,"Други приходи от дейността","passive",,,,,709,"active"
72,"Финансови приходи",,,,,,72,"active"
721,"Приходи от лихви","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",721,"active"
722,"Приходи от съучастия","passive",,"Фирми&nbsp;(101)",,,722,"active"
723,"Приходи от операции с финансови активи и инструменти","passive",,,,,723,"active"
724,"Приходи от валутни операции","passive",,,,,724,"active"
725,"Приходи от последващи оценки на финансови активи и инструменти","passive",,,,,725,"active"
729,"Други финансови приходи","passive",,,,,729,"active"
75,"Приходи за Бъдещи периоди и Финансирания",,,,,,75,"active"
751,"Нефинансови приходи за бъдещи периоди","passive",,,,,751,"active"
752,"Финансови приходи за бъдещи периоди","passive",,,,,752,"active"
753,"Финансиране за дълготрайни активи","passive",,,,,753,"active"
754,"Финансиране на текущата дейност","passive",,,,,754,"active"
79,"Извънредни Приходи",,,,,,79,"active"
791,"Отписани задължения","passive",,,,,791,"active"
7911,"Извънредни приходи по Продажби","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)",,7911,"active"
7912,"Отписани задължения по Покупки","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)",,7912,"active"
7913,"Отписани задължения по Финансови сделки","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)",,7913,"active"
799,"Други извънредни приходи","passive",,,,,799,"active"
9,"ЗАДБАЛАНСОВИ СМЕТКИ ЗА УСЛОВНИ АКТИВИ И ПАСИВИ",,,,,,9,"active"
900,"Начални салда","dynamic",,,,,900,"active"
154,"Дългови инструменти","passive",,,,,154,"closed"
2091,"Други ДМА - ДМА по ОП Конкурентноспособност","active",,"Дълготрайни активи&nbsp;(200)",,,2091,"closed"
24191,"Амортизация на други ДМА - ДМА по ОП Конкурентноспособност","transit",,"Дълготрайни активи&nbsp;(200)",,,24191,"closed"
302,"Суровини и материали","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,302,"closed"
3021,"Основни","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,3021,"closed"
3022,"Спомагателни","active",,"Артикули&nbsp;(300)",,,3022,"closed"
327,"Стандартни продукти","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,327,"closed"
328,"Изделия по поръчка","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,328,"closed"
33,"Суровини, материали, продукция и стоки",,,,,,33,"closed"
330,"Суровини, материали, продукция, стоки","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,330,"closed"
333,"СМЗ на отговорно пазене","active","WAC","Контрагенти&nbsp;(100)","Артикули&nbsp;(300)",,333,"closed"
4011,"Доставчици","passive",,"Контрагенти&nbsp;(100)",,,4011,"closed"
4012,"Доставчици по ОП Конкурентоспособност","passive",,"Контрагенти&nbsp;(100)",,,4012,"closed"
4021,"Доставчици по аванси","active",,"Контрагенти&nbsp;(100)",,,4021,"closed"
4022,"Доставчици по аванси по ОП Конкурентоспособност","active",,"Контрагенти&nbsp;(100)",,,4022,"closed"
4121,"Задължения към клиенти - ПО АВАНСИ","passive",,"Контрагенти&nbsp;(100)","Валути&nbsp;(1)",,4121,"closed"
4122,"Задължения към клиенти - НЕРАЗПРЕДЕЛЕНИ","passive",,"Контрагенти&nbsp;(100)","Валути&nbsp;(1)",,4122,"closed"
4534,"Начислен ДДС отпадъци от опаковки външен пазар","dynamic",,,,,4534,"closed"
50200,"Каси във валута (оригинално: 502)","active",,"Каси&nbsp;(501)","Валути&nbsp;(1)",,50200,"closed"
5031,"Разплащателни сметки в лева","active",,"Банкови сметки&nbsp;(503)",,,5031,"closed"
5032,"Разплащателни сметки във валута","active",,"Банкови сметки&nbsp;(503)","Валути&nbsp;(1)",,5032,"closed"
5033,"Разплащателни сметки ОП Конкурентноспособност","active",,"Банкови сметки&nbsp;(503)","Валути&nbsp;(1)",,5033,"closed"
6112,"Други разходи (общо)","active",,,,,6112,"closed"
702,"Приходи от продажби на стоки","passive",,"Контрагенти&nbsp;(100)","Артикули&nbsp;(300)",,702,"closed"
91,"Чужди Материални, Нематериални и Финансови Активи на Съхранение",,,,,,91,"closed"
911,"Наети чужди активи","passive",,,,,911,"closed"
912,"Чужди материални активи, получени по консигнационен договор","passive",,,,,912,"closed"
913,"Други материални и нематериални активи, приети на съхранение","passive",,,,,913,"closed"
914,"Финансови активи или парични средства, приети на за съхранение","passive",,,,,914,"closed"
98,"Други Условни активи",,,,,,98,"closed"
981,"Чужди материални и нематериални активи, получени като обезпечение","active",,,,,981,"closed"
982,"Чужди финансови активи, получени като обезпечение","active",,,,,982,"closed"
983,"Полици или записи на заповед, получени като обезпечение","active",,,,,983,"closed"
984,"Други Условни активи","active",,,,,984,"closed"
989,"Кореспондираща сметка за условни активи","active",,,,,989,"closed"
99,"Други Условни пасиви",,,,,,99,"closed"
991,"Собствени материални и нематериални активи, предоставени като обезпечение","passive",,,,,991,"closed"
992,"Собствени финансови активи, предоставени като обезпечение","passive",,,,,992,"closed"
993,"Полици или записи на заповед, предоставени като обезпечение","passive",,,,,993,"closed"
994,"Други условни пасиви","passive",,,,,994,"closed"
999,"Кореспондираща сметка за условни пасиви","passive",,,,,999,"closed"
